industry,level,level,line_code,value
total,0,1,D0201,14604
total,0,1,D0201,3792
total,0,1,D0201,1071
total,0,1,D0201,777
"Agriculture, forestry, & fishing",1,2,D0201,2268
Agriculture,2,3,D0201,1539
Commercial fishing,2,3,D0201,24
Forestry & logging,2,3,D0201,123
"Agriculture, forestry, & fishing support services",2,3,D0201,579
Mining,1,2,D0201,30
Manufacturing,1,2,D0201,2694
"Food, beverage, & tobacco",2,3,D0201,525
"Textile, clothing, footwear, & leather",2,3,D0201,162
Wood & paper product,2,3,D0201,276
"Printing, publishing, & recorded media",2,3,D0201,120
"Petroleum, coal, chemical, & associated product",2,3,D0201,216
Non-metallic mineral product,2,3,D0201,84
Metal product,2,3,D0201,492
Transport and industrial machinery & equipment,2,3,D0201,531
Other machinery & equipment,2,3,D0201,99
Other manufacturing,2,3,D0201,189
"Electricity, gas, water, & waste services",1,2,D0201,69
Construction,1,2,D0201,3069
Wholesale trade,1,2,D0201,1533
Machinery & equipment wholesaling,2,3,D0201,378
Other wholesale trade,2,3,D0201,1152
Retail trade,1,2,D0201,1980
Accommodation & food services,1,2,D0201,2385
"Transport, postal, & warehousing",1,2,D0201,819
Information media & telecommunications,1,2,D0201,138
Publishing,2,3,D0201,45
Motion picture,2,3,D0201,51
Telecommunications,2,3,D0201,42
Financial & insurance services,1,2,D0201,138
Finance,2,3,D0201,69
Insurance,2,3,D0201,0
Auxiliary,2,3,D0201,72
"Rental, hiring, & real estate services",1,2,D0201,453
"Professional, scientific, & technical services",1,2,D0201,1749
Computer systems design,2,3,D0201,234
Other professional scientific,2,3,D0201,1518
Administrative & support services,1,2,D0201,807
Education & training,1,2,D0201,387
Health care & social assistance,1,2,D0201,801
Arts & recreation services,1,2,D0201,198
Other services,1,2,D0201,720
total,0,1,D0201,20244
total,0,1,D0202,5463
total,0,1,D0202,1692
total,0,1,D0202,597
total,0,1,D0202,567
"Agriculture, forestry, & fishing",1,2,D0202,1134
Agriculture,2,3,D0202,861
Commercial fishing,2,3,D0202,6
Forestry & logging,2,3,D0202,54
